date,Confirmed,Deaths,Recovered,FIPS,Lat,Long_,new_Confirmed,new_Recovered,new_Deaths,p_new_Confirmed,p_new_Recovered,p_new_Deaths
2020-02-15,68347.0,1662.0,9294.0,0.0,0.0,0.0,2055.0,1321.0,142.0,0.03006715730024727,0.14213471056595653,0.08543922984356198
2020-02-16,70446.0,1765.0,10748.0,0.0,0.0,0.0,2099.0,1454.0,103.0,0.029795872015444452,0.13528098250837364,0.058356940509915016
2020-02-17,72364.0,1863.0,12455.0,0.0,0.0,0.0,1918.0,1707.0,98.0,0.026504891935216407,0.13705339221196305,0.052603327965646804
2020-02-18,74139.0,2002.0,14199.0,0.0,0.0,0.0,1775.0,1744.0,139.0,0.023941515261872968,0.12282555109514755,0.06943056943056942
2020-02-19,74546.0,2114.0,15952.0,0.0,0.0,0.0,407.0,1753.0,112.0,0.005459716148418426,0.10989217652958877,0.052980132450331126
2020-02-20,74999.0,2236.0,18002.0,0.0,0.0,0.0,453.0,2050.0,122.0,0.006040080534407125,0.11387623597378069,0.05456171735241502
2020-02-21,75472.0,2236.0,18693.0,0.0,0.0,0.0,473.0,691.0,0.0,0.006267224931100276,0.03696570908896378,0.0
2020-02-22,76922.0,2441.0,22687.0,0.0,0.0,0.0,1450.0,3994.0,205.0,0.018850263903694653,0.17604795697976816,0.08398197460057354
2020-02-23,76938.0,2443.0,23170.0,0.0,0.0,0.0,16.0,483.0,2.0,0.00020795965582676962,0.02084592145015106,0.0008186655751125665
2020-02-24,77152.0,2593.0,24990.0,0.0,0.0,0.0,214.0,1820.0,150.0,0.002773745333886354,0.07282913165266107,0.057848052448900886
2020-02-25,77660.0,2663.0,27650.0,0.0,0.0,0.0,508.0,2660.0,70.0,0.006541334020087561,0.09620253164556962,0.026286143447239955
2020-02-26,78065.0,2715.0,30053.0,0.0,0.0,0.0,405.0,2403.0,52.0,0.0051879843719976945,0.07995873956011047,0.019152854511970532
2020-02-27,78498.0,2744.0,32898.0,0.0,0.0,0.0,433.0,2845.0,29.0,0.005516064103544039,0.08647942124141285,0.010568513119533527
2020-02-28,78824.0,2788.0,36291.0,0.0,0.0,0.0,326.0,3393.0,44.0,0.004135796204201766,0.09349425477391089,0.015781922525107604
2020-02-29,79251.0,2835.0,39279.0,0.0,0.0,0.0,427.0,2988.0,47.0,0.0053879446316134815,0.07607118307492554,0.016578483245149912
2020-03-01,79826.0,2870.0,42118.0,0.0,1035.615,3457.830000000001,575.0,2839.0,35.0,0.00720316688798136,0.06740585972743245,0.012195121951219513
2020-03-02,80026.0,2912.0,44810.0,0.0,1035.615,3457.830000000001,200.0,2692.0,42.0,0.0024991877639767074,0.06007587592055345,0.014423076923076924
2020-03-03,80151.0,2945.0,47404.0,0.0,1035.615,3457.830000000001,125.0,2594.0,33.0,0.0015595563374131327,0.054721120580541724,0.011205432937181663
2020-03-04,80271.0,2981.0,49955.0,0.0,1035.615,3457.830000000001,120.0,2551.0,36.0,0.0014949359046230893,0.05106595936342708,0.012076484401207649
2020-03-05,80422.0,3013.0,52240.0,0.0,1035.615,3457.830000000001,151.0,2285.0,32.0,0.0018775956827733705,0.043740428790199085,0.010620643876535016
2020-03-06,80573.0,3042.0,53888.0,0.0,1035.615,3457.830000000001,151.0,1648.0,29.0,0.0018740769240316235,0.030581947743467935,0.00953320184089415
2020-03-07,80652.0,3070.0,55478.0,0.0,1035.615,3457.830000000001,79.0,1590.0,28.0,0.0009795169369637455,0.028660009373084827,0.009120521172638436
2020-03-08,80699.0,3097.0,57320.0,0.0,1035.615,3457.830000000001,47.0,1842.0,27.0,0.0005824111822947001,0.03213538032100489,0.00871811430416532
2020-03-09,80735.0,3120.0,58735.0,0.0,1035.615,3457.830000000001,36.0,1415.0,23.0,0.0004459032637641667,0.024091257342300162,0.007371794871794872
2020-03-10,80757.0,3136.0,60106.0,0.0,1035.615,3457.830000000001,22.0,1371.0,16.0,0.00027242220488626375,0.0228097028582837,0.00510204081632653
2020-03-11,80921.0,3161.0,61644.0,0.0,1157.4405999999994,3902.7689000000014,164.0,1538.0,25.0,0.0020266679848247055,0.024949711245214456,0.007908889591901298
2020-03-12,80932.0,3172.0,62901.0,0.0,1157.4405999999994,3902.7689000000014,11.0,1257.0,11.0,0.00013591657193693472,0.019983784041589164,0.0034678436317780582
2020-03-13,80945.0,3180.0,64196.0,0.0,1080.0817,3685.58,13.0,1295.0,8.0,0.0001606028784977454,0.020172596423453176,0.0025157232704402514
2020-03-14,80977.0,3193.0,65660.0,0.0,1080.0817,3685.58,32.0,1464.0,13.0,0.0003951739382787705,0.022296679865976242,0.004071406201064829
2020-03-15,81003.0,3203.0,67017.0,0.0,1080.0817,3685.58,26.0,1357.0,10.0,0.0003209757663296421,0.020248593640419595,0.0031220730565095223
2020-03-16,81033.0,3217.0,67910.0,0.0,1080.0817,3685.58,30.0,893.0,14.0,0.0003702195401873311,0.013149757031365042,0.004351880634131178
2020-03-17,81058.0,3230.0,68798.0,0.0,1080.0817,3685.58,25.0,888.0,13.0,0.00030842113054849613,0.012907351957905754,0.004024767801857585
2020-03-18,81102.0,3241.0,69755.0,0.0,1080.0817,3685.58,44.0,957.0,11.0,0.0005425266947794136,0.013719446634649846,0.003394014193150262
2020-03-19,81156.0,3249.0,70535.0,0.0,1080.0817,3685.58,54.0,780.0,8.0,0.000665385184089901,0.01105833983128943,0.0024622960911049553
2020-03-20,81250.0,3253.0,71266.0,0.0,1080.0817,3685.5800000000013,94.0,731.0,4.0,0.0011569230769230769,0.010257345718856116,0.0012296341838303104
2020-03-21,81305.0,3259.0,71857.0,0.0,1080.0817,3685.5800000000013,55.0,591.0,6.0,0.0006764651620441547,0.00822466843870465,0.001841055538508745
2020-03-22,81397.0,3265.0,72362.0,0.0,1083.3366999999996,3684.4197000000013,92.0,505.0,6.0,0.0011302627860977678,0.0069788010281639536,0.0018376722817764165
2020-03-23,81496.0,3274.0,72819.0,0.0,1083.3367,3684.4197,99.0,457.0,9.0,0.0012147835476587808,0.006275834603606202,0.002748930971288943
2020-03-24,81591.0,3281.0,73280.0,0.0,1083.3367,3684.4197,95.0,461.0,7.0,0.0011643441065803826,0.006290938864628821,0.0021334958854007926
2020-03-25,81661.0,3285.0,73773.0,0.0,1083.3367,3684.4197,70.0,493.0,4.0,0.0008572023364886543,0.006682661678391824,0.0012176560121765602
2020-03-26,81782.0,3291.0,74181.0,0.0,1083.3367,3684.4197,121.0,408.0,6.0,0.0014795431757599472,0.005500060662433776,0.0018231540565177757
